country_id,Country,Country Flag
1,Afghanistan,
2,Algeria,
3,American Samoa,
4,Angola,
5,Anguilla,
6,Argentina,"data:image/gif;base64,R0lGODlheABQAPe6AAAAAAEBAQICAgMDAwwQEhUdISo9RzxZZ0twgVqHnGictXWwzH293ITH54fM7onP8YrQ8orR84rR84rR84rR84rR84rR84rS9IrS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvS9IvT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrT9YrS9IrS9IrS9IrS9IrS9IrS9IrS9IrS9InS9InS9InS9InS9InS9InR9InR9InR9InR9InR9InR9IjR9IfR9IfR9IfR84bQ84bQ84bQ84bQ84XQ84TQ84PP84PP84LP84LP84LP84LP84LP84LP84LP84LP84LO84LO84LO8oPM74XK7IjH5onF4ovE4IvD3ovD3ovD3ovD3ovD3ovD3ovD3ovD3o3D3o7E3pDG4JTK5JjN55nO6JrP6ZrP6ZrP6ZrP6ZrP6ZrP6ZrP6ZvP6ZvQ6ZzQ6Z3Q6aDQ6KLR6KbS56nS563T5rHU5rXV5bjW5brY573b6cDe7MLg78Ti8cTl9MTm9sTn+MPn+MPn+MPn+Mbn783lzNbjnuDhbujgSO7hLPHhGvHfEvDdDuzZDejVEuTTFuHQGeDPHt7OI93OKd3OMdzONtzPPtvPRtzQU9vRYtnQatrRctvUfd7Yi+HcnOPeqObis+fkvunnx+rp0evq1uvr3uzs5O3u6e7v7O7w8O/z8+709+32+u33++33/O34/O34/O74/fD5/PT6/Pf7/Pv8/Pz8/Pz8/Pz9/fz+/fz+/fz+/f3+/v3+/v7+/v7+/v3+/v3+/v3+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/iH5BAgAALoALAAAAAB4AFAAAAj+AEVxGkiwoMGDCBMqXMiwocOHDSed4tSjosWLGDNq3Mixo8ePIEN2nNGDjSmKIlOqXMmyJUeSJlG6nEmzJk2YJ23q3MnzZcmcPYMKrYlT5tCjSEEWTcq0qcalTqM2hSq16lCqVrPuxKq160yuXsOqBCu27EeyZtM+/WlUrduMaN+6jSs3Ld26Ze/iDat3b9e+frMCDlx1MOGoODsdnttDjSlJfSJLnky5suXLmDNr3sy5c+Y/ffyUUuWqtOnTqFOrXs26tevXsGO3huUKVips/3Lr3s27t+/fwIMLH068OHFq1+ApX868ufPn0KM/NwfvX/Xq1uFRl869u/fm1M3+ITdOvvy8f/POz6M27xk5aNXGkcutvrx94urH39/f+zz63NBgg8w4yGCjjDPLVEPNOP/x5yBv+V3z4ITp/QMNNcs0o0w0ykBzTDPJQIMMPOOYU9+E/EWI4n7pzTPOONIQE40xzxyjzDG1LLOMMtI8swx9K6aInn5BmvePgNUwo8yOyhhTjDK2NHPMM8WIEw17FRZJnopaFteiNdhMYwwzxSwzDDG/+OJLMMggM4wzZIrTYJdeDikhnfj9Y82HzgxjTDC+AGPMMcX04oswxhDDIzPTtIjncFw+Ctx52EATDTPHHCOML8kYcwsutyBDjC/EMLOMMc0w6J+kk9rJ6qT+LjKDTC3MGMOpLbrkmisyxfxCzDLQ7JhNlq/252qx/c1zqTPNGPMLorr40ku0vuiCDC82TonNicjuFmm39M0jTTO12IKML8fcokua1OpyDDHBlGlqo6uC+996d9qL3jzWRNPsML0gg4uuBBtj6zDIOBONOMTa+y246SHITC3EAHNMMATrKqowx9iyjDPWzOnwsfpWiI2UywgDbbTAVKuLMr0IU0szzDCzbb0Qk2yvOf9MkwwzzrzL6TC5uqzMqEsik8wz++oLJL5OA2ngmMpsioynuNhyoy/D4NhMNNDwjHO3D5MdsTPPGPwnLxZfbSgxxdC4o6NRl43seTxDQwz+NEcb3Msvf/tZizHKDLhg007bfXd60IhTo5TK1MJrMczY4gwxJ//YcMk6J/6POMiIo4yUzgyazIcJG/OiiZvnDHXU+7o4zjTIQPOzjgiCCM0z1Yhcd+ee65kN2iE204w0y/T7NOxPI/fd89A7l5s48EQTZjTjhPzPdtF3/114RDIvvoPIeWP++einr/767Lfv/jbccLONN9y4b//9+LNfPzfUtLUYXz+hRBYGSMACGvCACEygAhfIwAY68IELtEAW4lAK//3vL2y5oFkMo8GjcLCDQvkgCHsiwhFuJYMm1EoJU0gUFLKwMC58IWJiKMOp0LCGSVkhDleiwx2mpIdwPgwJEIN4lhsSkYRGPOIJY6JEDyaxiS1kIhSDgpNNzOCKWMyiFrfIxS568YtgDKMYx/hFC8wgDichghrXyMY2uvGNcIyjHOdIxzraUY5VIAIbSvEIRfjxj4AMpCAHSchCGvKQiEykIg1pCEUYwhQBAQAh/gA7"
7,Armenia,
9,Austria,"data:image/gif;base64,R0lGODlheABQAPf/AMuVjstyZc1xZ81yac5xaM5yac1yaMxvYcmnp8tzZdYoJtclJtQmJ9UlJ9UmJ9cmKNciIMuUiNUhJdYhJdciJtUiJtgeIMqUi9ckJdYjJtckJtcjJ9QgIMuUj9UlJtYiJtUjJ9YjJ9UfIMyTjtckJ9UgIMyUj85zatUoKNcmJ9YlKNclKNUiIs1tY9McH9UYHtUaHdQZH9UaH9UZH9MWF8uRi9CKg9tUTd5RTN1TTN1STd5TTd5STdtQSM+hnePm6Pz/+f3//v3//fz//f7/+9jZ3eXk5Pv7/Pv7+/z9+/z9/Pr7+/38/drY2Obm5vz8/f3+/f7///3+/v7+/tna2uXm5f39/P79/v///v79/f/+/v///9na2ebl5v7+///+/9rZ2v39/dra2uXl5v38/P7+/dnZ2uXm5tra2ebm5/3//9ja3dGJgNlVTt1STt1ST9lQSc6hnMluYtYdH9QZHdUaG9UaHNQaHtcWGMeThdYkJ9YlKdcmKdUiIc1xaNQlJ9YkJdYkJtQfIMyTj9UmJtYiJcuUjs5vZtceINcgINYfIdcgIdcfIdUcGsySjcirpcqWi8qTi8yUi8uTjMyUjMqUiMi1s/oqGAAgdrAAGwSJ7QAAAQEoAFwEigAY8lzg4+BldwB3XAAAAAAAAAAAAOAAAAAY8vvIB/LgdmEAGHb7yAAAAP//AMgCSAJFfkV+yAAYAgAAAAAAABjyuABAAAAAAAAAABjypAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAgEBAHYAGHW+QQAAAAAAAIAAoQSDlAAAAAACACQAAAMsAAACKwEwAAAEigAAAAAEBHhIAAEEgwAAAIOUePMABOMAGHdc4AAEBPM0AMgAGAJFfoOUePMUBHAAGHdc56EAAAAAAIAAAASDlBjzJPx6AF53W3b6ygAEBPNYAGAAGAAY8wAACAAOAHQAAAI+DwAAAAQEAGYAAABAuEV+yAAAAgDAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAFv8eiH5BAgAAP8ALAAAAAB4AFAAAAj+AAEEEDCAQIGDCBMqXMiwocOHECNKnKiQwAADBxAkULCAQQMHIEOKHEmypMmTKFOqXMlyZAMGDyBEELBAwoQJFHLq3Mmzp8+fQIMKHUq0KM+bFSxcGMCAAoYMGqJKnUq1qtWrWLNq3cq1K9UMGDZw6EDAw4cMIEKoXcu2rdu3cOPKnUu3rt22IDKEEDGigAMKGkKQGEy4sOHDiBMrXsy4sePHhkNo2FDChF/AgiFr3sy5s+fCkilb/hv4s+nTqD2Hrny5dOrXsGMTXj0as+zbuFVPZk06c+7fwBXTbu07uHHjw3sfXx48uW3m0G87dx29eurpxa1r74x9u3fuu2v+U/9OvnH38ugXn0/PPnJ44u3jz36vXH789fbT489fnvYJFCSkoMIDBBZo4IEIJqjgggw26OCDEB6oQgorsGBCCy68AEMMMnTo4YcghijiiCSWaOKJKKYIYgwwzEBDDTbcgEMOOuxg44045qjjjjz26OOPQAYpZI465MBDDz78AEQQQQjB5JNQRinllFRWaeWVWGappZRODkFEEUYcgUQSSpRp5plopqnmmmy26eabcMapZhJLMNGEE09AEYUUUfTp55+ABirooIQWauihiCYKKJ9QTEFFFVZcgUUWWlRq6aWYZqrpppx26umnoIaKaRZYXLEFF10wAYUXfCrq6qv+sMYq659SeAHFF2A4EcYUW/C6xa/ABivssMQWa+yxyCar7LLB8sqrGLo6y+y01FZr7bXCSgvtrr1i6+234F6rbbTdhmvuuegCOy63vqbr7rvVristvPTWe6y85dqr7774trvvv/D2C/DA7wpM8MHmGozwwtgqzPDD0zoM8cTISkzxxcNajPHG3T5Lrr8cc6xxyBSPTDLE2o5BRhlTUCrqyzDHLPPMl2YxRRlamHEGE1d80fMXQAct9NBEF2300UgnrfTSTAvdc89opCGEGrNWbfXVV6uxxRpstOGGDjUOKfbYZJdtNo5gvwFHHHLMQUcddsQt99x012333Xjnrff+3nz3bXcdd+CRx396PLAHH4gnrvjijDfu+OOQRy755JQvvscDKvQBgB9/UABIBYGELvropJdu+umop6766qy3TnoFgGwgyCAFEFLIePyRJ1kGJRgCX+7o7Qf8dsIPb13xxkeHfPLMLc/8cc4/3xx9z0lfXfTW54Z99tJRjzv3yHmfHfjTi/Y7+dCLj/5y26+PWvvumwZ//LqZXx/92ofH1AeBgKDH/wAMoAAHSMACGvCACEygAhcoQBAEIgQcMMH+voc/2EgGgh04BAsQkQhFLOKDIAyhCEdIwhKa8IQoTKEKVyhCRSSCEY1wxCMgEQlJTIISOMyhDnfIwx768IcRQAyiEIdIxB1OQhIXqIQlAgIAIf4AOw=="
10,Azerbaijan,
11,Bahrain,
